ssn,age,education,marital-status,relationship,sex,income
656-65-6656,45.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
654-65-4654,47.0,5th-6th,Separated,,Female,
517-51-7517,19.0,12th,Widowed,Own-child,Male,<=50K
808-80-8808,54.0,Some-college,Never-married,Not-in-family,Female,<=50K
951-95-1951,50.0,Masters,,Not-in-family,Female,<=50K
973-97-3973,26.0,HS-grad,Married-civ-spouse,Wife,,<=50K
518-51-8518,24.0,Bachelors,Never-married,Not-in-family,,
481-48-1481,59.0,1st-4th,Married-AF-spouse,Unmarried,Female,
811-81-1811,46.0,9th,Divorced,Other-relative,Male,<=50K
088-08-8088,,,Never-married,Other-relative,,<=50K
994-99-4994,27.0,Some-college,Married-civ-spouse,,Male,<=50K
329-32-9329,60.0,10th,Married-civ-spouse,Own-child,Male,<=50K
428-42-8428,20.0,HS-grad,Never-married,,Male,
424-42-4424,23.0,,Never-married,Unmarried,,<=50K
565-56-5565,41.0,,Married-civ-spouse,Husband,,>50K
357-35-7357,36.0,,Married-civ-spouse,Wife,Female,<=50K
413-41-3413,38.0,Assoc-acdm,Married-civ-spouse,Husband,,>50K
767-76-7767,31.0,,Separated,,Female,<=50K
042-04-2042,53.0,,,Husband,,<=50K
203-20-3203,22.0,,,Not-in-family,Male,
232-23-2232,45.0,HS-grad,Married-civ-spouse,Husband,Male,
306-30-6306,41.0,,Never-married,Not-in-family,,<=50K
187-18-7187,,,Married-civ-spouse,,,<=50K
870-87-0870,71.0,,Married-civ-spouse,Husband,,>50K
185-18-5185,36.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
992-99-2992,35.0,,Never-married,Not-in-family,Male,
612-61-2612,59.0,Assoc-voc,Married-civ-spouse,,Male,<=50K
986-98-6986,44.0,Some-college,Married-civ-spouse,Husband,,<=50K
563-56-3563,33.0,HS-grad,Married-civ-spouse,Husband,,
441-44-1441,61.0,,,Husband,,<=50K
709-70-9709,51.0,Bachelors,Divorced,Unmarried,Female,>50K
200-20-0200,23.0,,Never-married,Not-in-family,Female,
371-37-1371,,,Never-married,Not-in-family,,
341-34-1341,49.0,Prof-school,Married-spouse-absent,Unmarried,Female,
021-02-1021,26.0,HS-grad,Never-married,Not-in-family,Female,<=50K
228-22-8228,50.0,,Divorced,Unmarried,Female,
886-88-6886,37.0,HS-grad,Married-civ-spouse,,,
863-86-3863,33.0,,,Husband,,>50K
663-66-3663,27.0,Bachelors,Never-married,,Male,
435-43-5435,36.0,Bachelors,Married-civ-spouse,Husband,Male,
259-25-9259,34.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
655-65-5655,56.0,Prof-school,,Husband,Male,>50K
285-28-5285,42.0,Masters,,Not-in-family,Female,<=50K
857-85-7857,31.0,,,Not-in-family,Male,
885-88-5885,22.0,,Never-married,Own-child,Male,
008-00-8008,32.0,Some-college,,,,<=50K
833-83-3833,,Some-college,Married-civ-spouse,,Male,>50K
731-73-1731,,HS-grad,Married-civ-spouse,Husband,Male,
606-60-6606,17.0,9th,Never-married,Own-child,Female,
795-79-5795,49.0,,Married-civ-spouse,Husband,,<=50K
236-23-6236,46.0,,Divorced,Not-in-family,,
614-61-4614,55.0,HS-grad,Divorced,Not-in-family,Male,<=50K
383-38-3383,37.0,,Divorced,Not-in-family,Female,<=50K
241-24-1241,38.0,Some-college,Separated,Other-relative,Female,
604-60-4604,,HS-grad,Married-AF-spouse,Wife,,<=50K
035-03-5035,78.0,Masters,,Husband,Male,>50K
469-46-9469,62.0,Preschool,,,,>50K
979-97-9979,27.0,Masters,,Wife,Female,
098-09-8098,55.0,Some-college,Married-civ-spouse,Husband,,
225-22-5225,37.0,,Divorced,,Female,
600-60-0600,34.0,10th,Widowed,Other-relative,Male,<=50K
444-44-4444,23.0,,Never-married,,Female,>50K
658-65-8658,36.0,Some-college,,Husband,Male,
313-31-3313,21.0,Some-college,Never-married,Own-child,,<=50K
461-46-1461,30.0,Some-college,Married-civ-spouse,Husband,,
775-77-5775,,HS-grad,Divorced,Not-in-family,,
876-87-6876,,Bachelors,Never-married,Own-child,Male,
376-37-6376,35.0,,Married-civ-spouse,,,<=50K
387-38-7387,50.0,Bachelors,,,Male,<=50K
356-35-6356,36.0,Bachelors,Never-married,Unmarried,Male,<=50K
605-60-5605,34.0,10th,Never-married,Own-child,Female,<=50K
553-55-3553,43.0,11th,Separated,,,
852-85-2852,17.0,HS-grad,,Other-relative,Male,
524-52-4524,31.0,HS-grad,Never-married,,,
455-45-5455,37.0,Bachelors,Never-married,,Male,>50K
214-21-4214,42.0,Assoc-voc,Married-civ-spouse,Husband,Male,>50K
006-00-6006,29.0,,Widowed,Wife,,>50K
618-61-8618,51.0,HS-grad,,Husband,Male,
044-04-4044,55.0,,Married-civ-spouse,Not-in-family,Male,<=50K
138-13-8138,76.0,Preschool,Married-civ-spouse,Husband,Male,<=50K
715-71-5715,51.0,Bachelors,Widowed,Other-relative,,<=50K
425-42-5425,83.0,,Married-civ-spouse,Wife,Female,
127-12-7127,42.0,HS-grad,,Husband,,>50K
381-38-1381,77.0,5th-6th,Married-spouse-absent,Other-relative,Male,
332-33-2332,18.0,11th,Never-married,,,
243-24-3243,29.0,,Married-civ-spouse,Husband,,
000-00-0000,44.0,Some-college,,Unmarried,Female,<=50K
